"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Dual Core","","","","","","","","","","","","",""
"Xeon E5-2637","SR0LE (M1)","2","3 GHz","5/5","2 × 256 KiB","5 MiB","80 W","LGA 2011","2 × 8.0 GT/s QPI","4 × DDR3-1600","March 6, 2012","CM8062101143202","$885"
"Quad Core","","","","","","","","","","","","",""
"Xeon E5-2603","SR0LB (M1)","4","1.8 GHz","N/A","4 × 256 KiB","10 MiB","80 W","LGA 2011","2 × 6.4 GT/s QPI","4 × DDR3-1066","March 6, 2012","CM8062100856501 BX80621E52603","$198 $207"
"Xeon E5-2609","SR0LA (M1)","4","2.4 GHz","N/A","4 × 256 KiB","10 MiB","80 W","LGA 2011","2 × 6.4 GT/s QPI","4 × DDR3-1066","March 6, 2012","CM8062107186604 BX80621E52609","$294 $299"
"Xeon E5-2643","SR0L7 (M1)","4","3.3 GHz","1/1/2/2","4 × 256 KiB","10 MiB","130 W","LGA 2011","2 × 8.0 GT/s QPI","4 × DDR3-1600","March 6, 2012","CM8062107185605","$885"
"Quad Core, low power","","","","","","","","","","","","",""
"Xeon E5-2618L","SR0M1 (M1)","4","1.8 GHz","N/A","4 × 256 KiB","10 MiB","40 W","LGA 2011","2 × 6.4 GT/s QPI","4 × DDR3-1333","July 22, 2013","CM8062101187102",""
"Six core","","","","","","","","","","","","",""
"Xeon E5-2620","SR0KW (C2) SR0H7 (C1) SR0KW (C2)","6","2 GHz","3/3/4/4/5/5","6 × 256 KiB","15 MiB","95 W","LGA 2011","2 × 7.2 GT/s QPI","4 × DDR3-1333","March 6, 2012","CM8062101048401 BX80621E52620","$406 $410"
"Xeon E5-2630","SR0KV (C2) SR0H6 (C1) SR0KV (C2)","6","2.3 GHz","3/3/4/4/5/5","6 × 256 KiB","15 MiB","95 W","LGA 2011","2 × 7.2 GT/s QPI","4 × DDR3-1333","March 6, 2012","CM8062101038801 BX80621E52630","$612 $616"
"Xeon E5-2640","SR0KR (C2) SR0H5 (C1) SR0KR (C2)","6","2.5 GHz","3/3/4/4/5/5","6 × 256 KiB","15 MiB","95 W","LGA 2011","2 × 7.2 GT/s QPI","4 × DDR3-1333","March 6, 2012","CM8062100856401 BX80621E52640","$885 $889"
"Xeon E5-2667","SR0KP (C2) SR0H3 (C1)","6","2.9 GHz","3/3/3/4/5/6","6 × 256 KiB","15 MiB","130 W","LGA 2011","2 × 8.0 GT/s QPI","4 × DDR3-1600","March 6, 2012","CM8062100854802","$1552"
"Six Core, low power","","","","","","","","","","","","",""
