"Model number","sSpec number","Cores (Threads)","Frequency","Turbo Boost All-Core/2.0 (/Max 3.0)","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Xeon Platinum 8153","SR3BA (H0)","16 (32)","2 GHz","2.3/2.8 GHz","16 × 1 MiB","22.00 MiB","125 W","LGA 3647","3 × 10.4 GT/s QPI","6 × DDR4-2666","11 July 2017","CD8067303408900","$3115"
"Xeon Platinum 8156","SR3AV (H0)","4 (8)","3.6 GHz","?/3.7 GHz","4 × 1 MiB","16.50 MiB","105 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303368800","$7007"
"Xeon Platinum 8158","SR3B7 (H0)","12 (24)","3 GHz","?/3.7 GHz","12 × 1 MiB","24.75 MiB","150 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303406500","$7007"
"Xeon Platinum 8160","SR3B0 (H0)","24 (48)","2.1 GHz","2.8/3.7 GHz","24 × 1 MiB","33.00 MiB","150 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303405600 BX806738160","$4702 $4708"
"Xeon Platinum 8160F","SR3B8 (H0)","24 (48)","2.1 GHz","2.8/3.7 GHz","24 × 1 MiB","33.00 MiB","160 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303406600","$4856"
"Xeon Platinum 8160M","SR3B8 (H0)","24 (48)","2.1 GHz","2.8/3.7 GHz","24 × 1 MiB","33.00 MiB","150 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303406600","$7704"
"Xeon Platinum 8160T","SR3J6 (H0)","24 (48)","2.1 GHz","2.8/3.7 GHz","24 × 1 MiB","33.00 MiB","150 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303592800","$4936"
"Xeon Platinum 8163","SR3G1 (H0)","24 (48)","2.4 GHz","2.7/3.1 GHz","24 × 1 MiB","33.00 MiB","165 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","2017","CD8067303527200",""
"Xeon Platinum 8164","SR3BB (H0)","26 (52)","2 GHz","2.7/3.7 GHz","26 × 1 MiB","35.75 MiB","150 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303408800 BX806738164","$6114 $6120"
"Xeon Platinum 8167M","SR3A0 (H0)","26 (52)","2 GHz","2.4/2.4 GHz","26 × 1 MiB","35.75 MiB","165 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","2017","CD8067303180701",""
"Xeon Platinum 8168","SR37J (H0)","24 (48)","2.7 GHz","3.4/3.7 GHz","24 × 1 MiB","33.00 MiB","205 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303327701","$5890"
"Xeon Platinum 8170","SR37H (H0)","26 (52)","2.1 GHz","2.8/3.7 GHz","26 × 1 MiB","35.75 MiB","165 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303327601 BX806738170","$7405 $7411"
"Xeon Platinum 8170M","SR3BD (H0)","26 (52)","2.1 GHz","2.8/3.7 GHz","26 × 1 MiB","35.75 MiB","165 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303319201","$10,409"
"Xeon Platinum 8173M","SR37Q (H0)","28 (56)","2 GHz","2.7/3.5 GHz","28 × 1 MiB","38.50 MiB","165 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","2017","CD8067303172400",""
"Xeon Platinum 8176","SR37A (H0)","28 (56)","2.1 GHz","2.8/3.8 GHz","28 × 1 MiB","38.50 MiB","165 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303314700","$8790"
"Xeon Platinum 8176F","SR3MK (H0)","28 (56)","2.1 GHz","2.8/3.8 GHz","28 × 1 MiB","38.50 MiB","173 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","Q3, 2017","CD8067303694600","$8874"
"Xeon Platinum 8176M","SR37U (H0)","28 (56)","2.1 GHz","2.8/3.8 GHz","28 × 1 MiB","38.50 MiB","165 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303133605","$11,722"
"Xeon Platinum 8180","SR377 (H0)","28 (56)","2.5 GHz","3.2/3.8 GHz","28 × 1 MiB","38.50 MiB","205 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303314400","$10,009"
"Xeon Platinum 8180M","SR37T (H0)","28 (56)","2.5 GHz","3.2/3.8 GHz","28 × 1 MiB","38.50 MiB","205 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303192101","$13,011"
