"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","GPU model","GPU frequency","TDP","Socket","I/O bus","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","","",""
"Xeon E3-1585 v5","SR2RB (N0)","4","3.5 GHz","3.9 GHz","4 × 256 KiB","8 MiB","Iris Pro Graphics P580","350–1150 MHz","65 W","BGA 1440","DMI 3.0","May 2016","JQ8066201935710","$556"
"Quad Core, mobile","","","","","","","","","","","","","",""
"Xeon E3-1505M v5","SR2FN (R0)","4","2.8 GHz","5/6/7/9","4 × 256 KiB","8 MiB","HD Graphics P530","350–1050 MHz","45 W","BGA 1440","DMI 3.0","September 2015","CL8066202191415","$434"
"Xeon E3-1515M v5","SR2QT (N0)","4","2.8 GHz","6/7/8/9","4 × 256 KiB","8 MiB","Iris Pro Graphics P580","350–1000 MHz","45 W","BGA 1440","DMI 3.0","January 2016","JQ8066202193208","$489"
"Xeon E3-1535M v5","SR2FM (R0)","4","2.9 GHz","5/6/7/9","4 × 256 KiB","8 MiB","HD Graphics P530","350–1050 MHz","45 W","BGA 1440","DMI 3.0","September 2015","CL8066202191412","$623"
"Xeon E3-1545M v5","SR2QU (N0)","4","2.9 GHz","6/7/8/9","4 × 256 KiB","8 MiB","Iris Pro Graphics P580","350–1050 MHz","45 W","BGA 1440","DMI 3.0","January 2016","JQ8066202193209","$679"
"Xeon E3-1575M v5","SR2QV (N0)","4","3 GHz","6/7/8/9","4 × 256 KiB","8 MiB","Iris Pro Graphics P580","350–1100 MHz","45 W","BGA 1440","DMI 3.0","January 2016","JQ8066202193210","$1207"
"Quad Core, low power","","","","","","","","","","","","","",""
"Xeon E3-1565L v5","SR2R8 (N0)","4","2.5 GHz","3.5 GHz","4 × 256 KiB","8 MiB","Iris Pro Graphics P580","350–1050 MHz","35 W","BGA 1440","DMI 3.0","May 2016","JQ8066201935626","$417"
"Xeon E3-1585L v5","SR2R9 (N0)","4","3 GHz","3.7 GHz","4 × 256 KiB","8 MiB","Iris Pro Graphics P580","350–1150 MHz","45 W","BGA 1440","DMI 3.0","May 2016","JQ8066201935627","$445"
"Quad Core, low power, embedded","","","","","","","","","","","","","",""
"Xeon E3-1505L v5","SR2E0 (R0)","4","2 GHz","2.8 GHz","4 × 256 KiB","8 MiB","HD Graphics P530","350–1000 MHz","25 W","BGA 1440","DMI 3.0","Q4 2015","CL8066202399804","$433"
"Xeon E3-1558L v5","SR2TU (N0)","4","1.9 GHz","3.3 GHz","4 × 256 KiB","8 MiB","Iris Pro Graphics P555","650–1000 MHz","45 W","BGA 1440","DMI 3.0","May 2016","JQ8066202811101","$396"
"Xeon E3-1578L v5","SR2TT (N0)","4","2 GHz","3.4 GHz","4 × 256 KiB","8 MiB","Iris Pro Graphics P580","700–1000 MHz","45 W","BGA 1440","DMI 3.0","May 2016","JQ8066202811001","$449"
