"Model Number","sSpec Number","Frequency","L2-Cache","Front Side Bus","Mult","Voltage","TDP","Socket","Release Date","Part Number(s)","Release Price (USD)"
"Single Core","","","","","","","","","","",""
"Xeon 2.8","SL7DV (D0) SL7HF (D0) SL7TB (E0) SL84B (E0)","2800 MHz","1024 KB","800 MT/s","14x","1.287–1.4 V","103 W","Socket 604","June 28, 2004","NE80546KG0721M","OEM"
"Xeon 2.8D","SL7PD (E0) SL8KN (G1)","2800 MHz","1024 KB","800 MT/s","14x","1.287–1.4 V","103 W","Socket 604","June 28, 2004","B80546KG0721M","$209"
"Xeon 3.0","SL7DW (D0) SL7HG (D0) SL7TC (E0)","3000 MHz","1024 KB","800 MT/s","15x","1.287–1.4 V","103 W","Socket 604","June 28, 2004","RK80546KG0801M","OEM"
"Xeon 3.0D","SL7PE (E0) SL8KP (G1)","3000 MHz","1024 KB","800 MT/s","15x","1.287–1.4 V","103 W","Socket 604","June 28, 2004","NE80546KG0801M","$316"
"Xeon 3.2","SL7DX (D0) SL7HH (D0) SL7PF (E0) SL7TD (E0) SL8KQ (G1)","3200 MHz","1024 KB","800 MT/s","16x","1.287–1.4 V","103 W","Socket 604","June 28, 2004","RK80546KG0881M","$455"
"Xeon 3.4","SL7DY (D0) SL7HJ (D0) SL7PG (E0) SL7TE (E0) SL8KR (G1)","3400 MHz","1024 KB","800 MT/s","17x","1.287–1.4 V","103 W","Socket 604","June 28, 2004","RK80546KG0961M","$690"
"Xeon 3.6","SL7DZ (D0) SL7HK (D0) SL7PH (E0) SL7VF (E0) SL8KS (G1)","3600 MHz","1024 KB","800 MT/s","18x","1.287–1.4 V","103 W","Socket 604","June 28, 2004","RK80546KG1041M","$851"
"Single Core, low voltage","","","","","","","","","","",""
"Xeon LV 2.8","SL8RW (G0)","2800 MHz","1024 KB","800 MT/s","14x","1.1125–1.2 V","55 W","Socket 604","October 2004","RK80546KG0721M","$260"
