"Model number","sSpec number","Cores","Frequency","L2 cache","FSB","Mult.","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","",""
"Xeon E5405","SLAP2 (C0) SLBBP (E0)","4","2 GHz","2 × 6 MiB","1333 MT/s","6×","0.85–1.35 V","80 W","LGA 771","November 11, 2007","EU80574KJ041N AT80574KJ041N","$209"
"Xeon E5410","SLANW (C0) SLBBC (E0)","4","2.33 GHz","2 × 6 MiB","1333 MT/s","7×","0.85–1.35 V","80 W","LGA 771","November 11, 2007","EU80574KJ053N AT80574KJ053N","$256"
"Xeon E5420","SLANV (C0) SLBBL (E0)","4","2.5 GHz","2 × 6 MiB","1333 MT/s","7.5×","0.85–1.35 V","80 W","LGA 771","November 11, 2007","EU80574KJ060N AT80574KJ060N","$316"
"Xeon E5430","SLANU (C0) SLBBK (E0)","4","2.67 GHz","2 × 6 MiB","1333 MT/s","8×","0.85–1.35 V","80 W","LGA 771","November 11, 2007","EU80574KJ067N AT80574KJ067N","$455"
"Xeon E5440","SLANS (C0) SLBBJ (E0)","4","2.83 GHz","2 × 6 MiB","1333 MT/s","8.5×","0.85–1.35 V","80 W","LGA 771","November 11, 2007","EU80574KJ073N AT80574KJ073N","$690"
"Xeon E5450","SLANQ (C0) SLBBM (E0)","4","3 GHz","2 × 6 MiB","1333 MT/s","9×","0.85–1.35 V","80 W","LGA 771","November 11, 2007","EU80574KJ080N AT80574KJ080N","$915"
"Xeon X5450","SLASB (C0) SLBBE (E0)","4","3 GHz","2 × 6 MiB","1333 MT/s","9×","0.85–1.35 V","120 W","LGA 771","November 11, 2007","EU80574KJ080NT AT80574KJ080NT","$851"
"Xeon X5460","SLANP (C0) SLBBA (E0)","4","3.17 GHz","2 × 6 MiB","1333 MT/s","9.5×","0.85–1.35 V","120 W","LGA 771","November 11, 2007","EU80574KJ087N AT80574KJ087NT","$1172"
"Xeon E5462","SLANT (C0) SLBBN (E0)","4","2.8 GHz","2 × 6 MiB","1600 MT/s","7×","0.85–1.35 V","80 W","LGA 771","November 11, 2007","EU80574KL072N AT80574KL072","$797"
"Xeon X5470","SLBBF (E0)","4","3.33 GHz","2 × 6 MiB","1333 MT/s","10×","0.85–1.35 V","120 W","LGA 771","September 8, 2008","AT80574KJ093N","$1386"
"Xeon E5472","SLANR (C0) SLBBH (E0)","4","3 GHz","2 × 6 MiB","1600 MT/s","7.5×","0.85–1.35 V","80 W","LGA 771","November 11, 2007","EU80574KL080N AT80574KL080","$1022"
"Xeon X5472","SLASA (C0) SLBBB (E0)","4","3 GHz","2 × 6 MiB","1600 MT/s","7.5×","0.85–1.35 V","120 W","LGA 771","November 11, 2007","EU80574KL080NT AT80574KL080N","$958"
"Xeon X5482","SLANZ (C0) SLBBG (E0)","4","3.2 GHz","2 × 6 MiB","1600 MT/s","8×","0.85–1.35 V","150 W","LGA 771","November 11, 2007","EU80574KL088 AT80574KL088N","$1279"
"Xeon X5492","SLBBD (E0)","4","3.4 GHz","2 × 6 MiB","1600 MT/s","8.5×","0.85–1.35 V","150 W","LGA 771","September 8, 2008","AT80574KL096N","$1493"
"Quad Core, low voltage","","","","","","","","","","","",""
"Xeon L5408","SLAP5 (C0) SLBBT (E0)","4","2.13 GHz","2 × 6 MiB","1066 MT/s","8×","0.85–1.35 V","40 W","LGA 771","February 27, 2008","EU80574JH046N AT80574JH046NT","OEM"
"Xeon L5410","SLAP4 (C0) SLBBS (E0)","4","2.33 GHz","2 × 6 MiB","1333 MT/s","7×","0.85–1.35 V","50 W","LGA 771","March 25, 2008","EU80574JJ053N AT80574JJ053N","$320"
"Xeon L5420","SLARP (C0) SLBBR (E0)","4","2.5 GHz","2 × 6 MiB","1333 MT/s","7.5×","0.85–1.35 V","50 W","LGA 771","March 25, 2008","EU80574JJ060N AT80574JJ060N","$380"
"Xeon L5430","SLBBQ (E0)","4","2.67 GHz","2 × 6 MiB","1333 MT/s","8×","0.85–1.35 V","50 W","LGA 771","September 8, 2008","AT80574JJ067N","$562"
